,Year_Birth,Education,Status,Income,Num_of_kids,Num_of_Teen,Registration_date,Recency,Mnt_Fruits,Mnt_Meat,Mnt_sweet,Mnt_Wines,Mnt_Gold_Products,Mnt_Fish,Num_Web_Purchases,Num_Store_Purchases,Num_Deals_Purchases,Num_Catalog_Purchases,Num_Web_Visits,Response_Campaign_1,Response_Campaign_2,Response_Campaign_3,Response_Campaign_4,Response_Campaign_5,Complain,Response,Status_cat,Mnt_all
51,0.2549019607843164,0.5,Married,0.29578652569306774,0.5,0.5,0.49529190207156226,0.10101010101010102,0.22297297297297297,0.0,0.03763987792472024,0.05603448275862069,0.0,0.610441767068273,0.7000000000000001,0.4545454545454546,0.36363636363636365,0.3076923076923077,0.42857142857142855,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.19642857142857142
52,0.4705882352941231,0.5,Married,0.39634979074231413,0.5,0.5,0.8220338983050848,0.7171717171717172,0.1493993993993994,0.05056179775280899,0.05696846388606307,0.08620689655172414,0.10606060606060606,0.024096385542168672,0.7000000000000001,0.36363636363636365,0.09090909090909091,0.5384615384615385,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12182539682539684
53,0.3333333333333357,0.5,Married,0.3623273230749866,0.0,0.5,0.20809792843691177,0.37373737373737376,0.5923423423423423,0.0,0.1342828077314344,0.0,0.14141414141414144,0.610441767068273,0.7000000000000001,1.0,0.4545454545454546,0.6153846153846154,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4353174603174603
54,0.6274509803921617,0.5,Single,0.3891311872620284,0.0,0.5,0.6958568738229758,0.5858585858585859,0.49099099099099097,0.03932584269662921,0.0925737538148525,0.0,0.07575757575757576,0.12048192771084336,0.7000000000000001,0.8181818181818182,0.36363636363636365,0.6153846153846154,0.42857142857142855,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3146825396825397
55,0.6078431372549034,0.5,Married,0.3534661254287423,0.5,0.5,0.41242937853107264,0.8787878787878789,0.4677177177177177,0.29775280898876405,0.18006103763987794,0.09913793103448276,0.08585858585858587,0.5341365461847389,0.7000000000000001,0.2727272727272727,0.18181818181818182,0.6153846153846154,0.5714285714285714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.40555555555555556
56,0.6274509803921617,0.25,Married,0.2025614399446175,1.0,0.5,0.21280602636534773,0.9494949494949496,0.054804804804804805,0.016853932584269662,0.09053916581892167,0.05172413793103448,0.005050505050505051,0.1285140562248996,0.7000000000000001,0.36363636363636365,0.09090909090909091,0.3076923076923077,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08174603174603173
58,0.764705882352942,0.5,Married,0.2937852040655779,0.5,0.5,0.8455743879472681,0.4747474747474748,0.07282282282282282,0.06741573033707865,0.0844354018311292,0.05603448275862069,0.05050505050505051,0.06024096385542168,0.7000000000000001,0.2727272727272727,0.09090909090909091,0.46153846153846156,0.3571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08968253968253967
59,0.7254901960784323,0.5,Together,0.3421441832656786,0.5,0.0,0.34557438794726814,0.48484848484848486,0.25825825825825827,0.19662921348314605,0.18006103763987794,0.06465517241379311,0.11616161616161617,0.0682730923694779,0.7000000000000001,0.6363636363636364,0.18181818181818182,0.6923076923076923,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.24087301587301588
60,0.6274509803921617,0.25,Married,0.2025614399446175,1.0,0.5,0.21280602636534773,0.9494949494949496,0.054804804804804805,0.016853932584269662,0.09053916581892167,0.05172413793103448,0.005050505050505051,0.1285140562248996,0.7000000000000001,0.36363636363636365,0.09090909090909091,0.3076923076923077,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08174603174603173
63,0.647058823529413,0.75,Divorced,0.313823594197426,0.5,0.5,0.5649717514124291,0.020202020202020204,0.17192192192192193,0.03932584269662921,0.14140386571719227,0.04310344827586207,0.015151515151515152,0.04417670682730923,0.7000000000000001,0.4545454545454546,0.09090909090909091,0.6153846153846154,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.15674603174603174
64,0.09803921568627771,1.0,Together,0.38083010793291167,1.0,0.5,0.9425612052730692,0.5656565656565657,0.3048048048048048,0.0,0.029501525940996948,0.0,0.0,0.0321285140562249,0.7000000000000001,0.7272727272727273,0.18181818181818182,0.38461538461538464,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.17420634920634923
65,0.5686274509803937,0.5,Together,0.44905126026621356,0.5,1.0,0.5395480225988702,0.9090909090909092,0.6426426426426426,0.33146067415730335,0.49440488301119023,0.25,0.14646464646464646,0.2931726907630522,0.7000000000000001,0.18181818181818182,0.4545454545454546,0.38461538461538464,0.3571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.6178571428571429
66,0.37254901960784537,1.0,Divorced,0.2964788067591806,0.0,0.5,0.08662900188323874,0.98989898989899,0.34459459459459457,0.0,0.023397761953204477,0.02586206896551724,0.0,0.01606425702811245,0.6000000000000001,0.36363636363636365,0.4545454545454546,0.5384615384615385,0.42857142857142855,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.19365079365079366
67,0.5490196078431424,1.0,Together,0.3138676484470877,0.0,0.5,0.20715630885122316,0.3434343434343435,0.6726726726726726,0.056179775280898875,0.1017293997965412,0.05603448275862069,0.05050505050505051,0.1365461847389558,0.6000000000000001,0.36363636363636365,0.18181818181818182,0.6923076923076923,0.6428571428571428,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.42023809523809524
68,0.4313725490196134,1.0,Widow,0.3069700116429088,0.0,0.5,0.3596986817325796,0.24242424242424243,0.7154654654654654,0.0,0.07121057985757884,0.0,0.0,0.6987951807228915,0.6000000000000001,0.9090909090909092,0.4545454545454546,0.7692307692307693,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.4734126984126984
69,0.529411764705884,1.0,Divorced,0.24583530004090753,0.0,0.5,0.366290018832391,0.2828282828282829,0.24324324324324323,0.2696629213483146,0.18819938962360122,0.16810344827586207,0.09090909090909091,0.7951807228915662,0.6000000000000001,0.5454545454545454,0.7272727272727273,0.3076923076923077,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.32063492063492066
70,0.41176470588235503,0.75,Married,0.4363007017212625,0.0,0.5,0.37853107344632697,0.17171717171717174,0.9046546546546547,0.0,0.2380467955239064,0.08189655172413793,0.07070707070707072,0.823293172690763,0.6000000000000001,0.5454545454545454,0.2727272727272727,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6638888888888889
71,0.529411764705884,0.5,Single,0.20385160011328235,0.5,0.5,0.26365348399246713,0.8080808080808082,0.11861861861861862,0.0,0.022380467955239066,0.0,0.0,0.07228915662650602,0.6000000000000001,0.2727272727272727,0.09090909090909091,0.38461538461538464,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07698412698412699
72,0.4313725490196134,0.75,Divorced,0.2845841593505145,0.5,0.5,0.4613935969868166,0.5050505050505051,0.06081081081081081,0.10112359550561797,0.11393692777212615,0.2025862068965517,0.06565656565656566,0.08433734939759036,0.6000000000000001,0.36363636363636365,0.18181818181818182,0.38461538461538464,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1142857142857143
73,0.4313725490196134,1.0,Widow,0.3069700116429088,0.0,0.5,0.3596986817325796,0.24242424242424243,0.7154654654654654,0.0,0.07121057985757884,0.0,0.0,0.6987951807228915,0.6000000000000001,0.9090909090909092,0.4545454545454546,0.7692307692307693,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.4734126984126984
74,0.27450980392157476,0.5,Widow,0.3447119166745335,0.5,0.5,0.3709981167608287,0.48484848484848486,0.14189189189189189,0.056179775280898875,0.25635808748728384,0.24137931034482757,0.21717171717171718,0.2570281124497992,0.6000000000000001,0.7272727272727273,0.18181818181818182,0.5384615384615385,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.24206349206349206
75,0.6666666666666714,0.5,Married,0.281166808269612,0.5,0.5,0.2758945386064031,0.696969696969697,0.11936936936936937,0.02247191011235955,0.044760935910478125,0.02586206896551724,0.010101010101010102,0.15261044176706826,0.6000000000000001,0.4545454545454546,0.09090909090909091,0.3076923076923077,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09880952380952382
76,0.27450980392157476,1.0,Married,0.3544416123855376,0.0,0.5,0.6544256120527301,0.11111111111111112,0.4722222222222222,0.0,0.07019328585961343,0.0,0.0,0.14056224899598393,0.6000000000000001,1.0,0.18181818181818182,0.5384615384615385,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2892857142857143
77,0.5490196078431424,0.75,Together,0.25866138015670725,0.5,0.5,0.7231638418079083,0.3535353535353536,0.12537537537537538,0.011235955056179775,0.08952187182095626,0.0,0.0,0.1365461847389558,0.6000000000000001,0.5454545454545454,0.09090909090909091,0.3076923076923077,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1138888888888889
78,0.7843137254902004,0.0,Married,0.1947386638975424,0.0,0.0,0.361581920903955,0.9292929292929294,0.17117117117117117,0.6853932584269663,0.12309257375381485,0.896551724137931,0.6515151515151516,0.12048192771084336,0.6000000000000001,1.0,0.18181818181818182,0.6153846153846154,0.6428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33095238095238094
79,0.27450980392157476,0.75,Married,0.3099405267629567,0.0,0.5,0.42278719397363496,0.7272727272727273,0.29504504504504503,0.0,0.24211597151576805,0.3879310344827586,0.3484848484848485,0.2771084337349397,0.6000000000000001,0.4545454545454546,0.6363636363636364,0.6923076923076923,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3392857142857143
80,0.6666666666666714,0.5,Single,0.3319235973441581,0.5,1.0,0.6789077212806021,0.26262626262626265,0.2605105105105105,0.0,0.034587995930824005,0.017241379310344827,0.015151515151515152,0.028112449799196783,0.6000000000000001,0.36363636363636365,0.18181818181818182,0.6153846153846154,0.3571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15515873015873016
81,0.9215686274509807,0.25,Single,0.12479310236319584,0.5,0.0,0.11487758945385984,0.9797979797979799,0.07807807807807808,0.11235955056179775,0.1017293997965412,0.10344827586206896,0.07575757575757576,0.020080321285140562,0.6000000000000001,0.4545454545454546,0.09090909090909091,0.38461538461538464,0.6428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10476190476190475
82,0.5686274509803937,0.5,Divorced,0.34744957361779794,0.0,0.5,0.4209039548022595,0.7777777777777778,0.3303303303303303,0.4550561797752809,0.3733468972533062,0.0,0.6161616161616162,0.6987951807228915,0.6000000000000001,1.0,0.4545454545454546,0.6923076923076923,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.46825396825396826
83,0.6274509803921617,1.0,Together,0.3241763428679317,0.0,0.5,0.7551789077212803,0.8585858585858587,0.4369369369369369,0.0,0.06510681586978637,0.0,0.0,0.05220883534136546,0.6000000000000001,0.7272727272727273,0.18181818181818182,0.6923076923076923,0.3571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25992063492063494
84,0.6862745098039227,0.5,Together,0.29389219295761354,0.5,0.5,0.3954802259887007,0.7070707070707072,0.1996996996996997,0.033707865168539325,0.050864699898270596,0.034482758620689655,0.030303030303030304,0.2570281124497992,0.6000000000000001,0.6363636363636364,0.09090909090909091,0.38461538461538464,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15714285714285714
85,0.7058823529411811,0.5,Married,0.24237389471034332,0.5,0.0,0.20809792843691177,0.5656565656565657,0.1831831831831832,0.08426966292134831,0.10885045778229908,0.017241379310344827,0.07575757575757576,0.2008032128514056,0.6000000000000001,0.6363636363636364,0.09090909090909091,0.46153846153846156,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.17103174603174603
86,0.3333333333333357,0.25,Together,0.3120362503540074,0.5,0.5,0.46327683615819204,0.6565656565656566,0.1614114114114114,0.03932584269662921,0.03255340793489318,0.01293103448275862,0.0,0.05220883534136546,0.6000000000000001,0.4545454545454546,0.09090909090909091,0.38461538461538464,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.10555555555555557
87,0.6274509803921617,1.0,Single,0.27283426161930835,0.5,0.5,0.764595103578154,0.8181818181818182,0.07207207207207207,0.0056179775280898875,0.07934893184130214,0.030172413793103446,0.005050505050505051,0.31726907630522083,0.6000000000000001,0.4545454545454546,0.09090909090909091,0.23076923076923078,0.5714285714285714,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.10238095238095238
88,0.2156862745098067,0.75,Together,0.25346297869662354,0.5,0.5,0.39359698681732525,0.09090909090909091,0.13288288288288289,0.011235955056179775,0.07121057985757884,0.01293103448275862,0.010101010101010102,0.08032128514056225,0.6000000000000001,0.4545454545454546,0.18181818181818182,0.3076923076923077,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.10714285714285715
89,0.3529411764705941,0.5,Divorced,0.3634349727807672,0.0,0.5,0.3220338983050848,0.494949494949495,0.28678678678678676,0.7752808988764045,0.06510681586978637,0.25862068965517243,0.13131313131313133,0.2369477911646586,0.6000000000000001,0.4545454545454546,0.18181818181818182,0.9230769230769231,0.3571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.28769841269841273
90,0.8431372549019613,0.5,Together,0.1994650555398219,0.5,0.0,0.2909604519774014,0.686868686868687,0.05630630630630631,0.06741573033707865,0.14242115971515767,0.1853448275862069,0.196969696969697,0.7510040160642569,0.6000000000000001,0.5454545454545454,0.09090909090909091,0.38461538461538464,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.19523809523809524
91,0.5882352941176521,0.5,Married,0.2090248277164165,0.5,0.0,0.2947269303201505,0.16161616161616163,0.12912912912912913,0.056179775280898875,0.12614445574771108,0.09051724137931035,0.06565656565656566,0.0642570281124498,0.6000000000000001,0.6363636363636364,0.18181818181818182,0.3076923076923077,0.6428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.13968253968253969
92,0.7254901960784323,0.75,Married,0.2535070329462853,0.5,0.0,0.8201506591337093,0.22222222222222224,0.24549549549549549,0.05056179775280899,0.12614445574771108,0.10775862068965517,0.020202020202020204,0.5582329317269076,0.6000000000000001,0.6363636363636364,0.09090909090909091,0.6153846153846154,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24761904761904763
93,0.5686274509803937,0.5,Single,0.30519203761014035,0.5,1.0,0.557438794726929,0.6767676767676768,0.5540540540540541,0.11235955056179775,0.21910071210579857,0.22413793103448276,0.25252525252525254,0.08032128514056225,0.6000000000000001,0.18181818181818182,0.2727272727272727,0.7692307692307693,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4330857142857143
94,0.27450980392157476,0.25,Divorced,0.2408319959721829,0.0,0.5,0.37758945386064013,0.31313131313131315,0.22672672672672672,0.16292134831460675,0.13224821973550357,0.13793103448275862,0.0,0.10843373493975902,0.6000000000000001,0.7272727272727273,0.09090909090909091,0.5384615384615385,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.20476190476190476
